cve_id,cvss,cwe,owasp_category,reproducibility_score,notes
CVE-2026-5058,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"aws-mcp-server command injection in allowed commands list handling. No auth required. Published 2026-04-11."
CVE-2026-5059,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"aws-mcp-server AWS CLI command injection RCE. No auth required. Published 2026-04-11."
CVE-2026-0755,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"gemini-mcp-tool execAsync constructs OS commands from unsanitized user strings. eval() epidemic pattern."
CVE-2026-1977,9.8,CWE-94,ASI05 Unexpected Code Execution,reproducible,"mcp-vegalite-server passes vegalite_specification directly to Python eval(). eval() epidemic pattern."
CVE-2026-2008,9.8,CWE-94,ASI05 Unexpected Code Execution,reproducible,"fermat-mcp eqn_chart processes equation strings without neutralizing code constructs. eval() epidemic pattern."
CVE-2026-0756,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"GitHub Kanban MCP server async command injection via shell metacharacters in tool input."
CVE-2026-25546,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"godot-mcp executeOperation passes projectPath directly to exec(). Fixed in 0.1.1."
CVE-2026-26029,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"sf-mcp-server (Salesforce) command injection via child_process.exec with user-controlled input."
CVE-2026-23744,9.8,CWE-306,ASI03 Identity and Privilege Abuse,reproducible,"MCPJam inspector HTTP server binds 0.0.0.0, no auth on server management endpoint. RCE via connect API. Fixed 1.4.3."
CVE-2026-26118,8.8,CWE-269,ASI03 Identity and Privilege Abuse,partially reproducible,"Microsoft Azure MCP Server EoP via crafted input. Patched March 2026 Patch Tuesday. Requires Azure MCP Server setup."
CVE-2026-33989,8.1,CWE-22,ASI02 Tool Misuse,reproducible,"mobile-next mobile-mcp path traversal in saveTo/output params of screenshot/recording tools. Arbitrary file write."
CVE-2026-39885,7.5,CWE-918,ASI04 Agentic Supply Chain Vulnerabilities,partially reproducible,"mcp-from-openapi SSRF and local file read via untrusted OpenAPI specs."
CVE-2026-6130,7.3,CWE-94,ASI05 Unexpected Code Execution,partially reproducible,"chatboxai chatbox up to 1.20.0. Details limited. Published 2026-04-12."
CVE-2026-25536,7.1,CWE-200,ASI07 Insecure Inter-Agent Communication,partially reproducible,"MCP TypeScript SDK cross-client data leak when single McpServer reused across clients. Fixed v1.26.0."
CVE-2026-27896,7.0,CWE-20,ASI04 Agentic Supply Chain Vulnerabilities,partially reproducible,"Go MCP SDK JSON-RPC case-insensitive field name parsing bypass. Affects all Go-based MCP servers. Fixed 1.3.1."
CVE-2026-35568,6.5,CWE-350,ASI03 Identity and Privilege Abuse,partially reproducible,"Java MCP SDK DNS rebinding allows access to local/network-private MCP servers via victim browser."
CVE-2026-35577,7.5,CWE-287,ASI03 Identity and Privilege Abuse,partially reproducible,"Apollo MCP Server auth bypass via DNS rebinding. Missing Host header validation. Fixed 1.7.0."
CVE-2026-32871,8.5,CWE-22,ASI04 Agentic Supply Chain Vulnerabilities,reproducible,"FastMCP OpenAPIProvider SSRF + path traversal. Auth bypass via escaping intended API prefix."
CVE-2026-2025,7.5,CWE-78,ASI05 Unexpected Code Execution,partially reproducible,"MCP server vulnerability (NVD listed). Limited detail available from search results."
CVE-2025-68143,7.5,CWE-22,ASI02 Tool Misuse,reproducible,"Anthropic mcp-server-git path traversal. Part of 3-CVE chain with 68144/68145. Published Jan 2026."
CVE-2025-68144,7.5,CWE-88,ASI02 Tool Misuse,reproducible,"Anthropic mcp-server-git argument injection. Part of chain enabling RCE via .git/config."
CVE-2025-68145,7.5,CWE-863,ASI03 Identity and Privilege Abuse,reproducible,"Anthropic mcp-server-git repository scoping bypass. Combined with 68143/68144 achieves full RCE."
CVE-2025-53818,8.5,CWE-78,ASI05 Unexpected Code Execution,reproducible,"GitHub Kanban MCP server command injection via LLM prompt injection through shell characters."
CVE-2025-53107,9.8,CWE-78,ASI05 Unexpected Code Execution,reproducible,"@cyanheads/git-mcp-server command injection via unsanitized input to child_process.exec."
CVE-2025-6514,8.5,CWE-78,ASI04 Agentic Supply Chain Vulnerabilities,reproducible,"mcp-remote OS command injection via untrusted MCP server connections."
CVE-2026-23523,7.0,CWE-78,ASI05 Unexpected Code Execution,partially reproducible,"MCP server vulnerability listed on NVD. Limited detail from search."
